ID,Age,Tenure_Months,Education,Marital_Status,Children,Income,Total_Spends,Total_Num_Purchases,Customer_Since,Total_Campaigns,Recency,Wine,Fruits,Meat_Prod,Fish_Prod,Sweet_Prod,Gold_Prod,Deal_Purchase,Web_Purchase,Catalog_Purchase,Store_Purchase,Web_Visits_Month,Response,Complain,Country,Customer_Type,Spending_Type,Age_Segment,web_engagement
16235636,57,147,Graduation,Single,0.0,29877.5,569.0,14.0,2013-12-09,0.0,25,483,0,56,2,0,28,0,4,3,7,6,0,0,Germany,Other,High spender,50s,medium
7142362,42,140,Master,Married,0.0,14761.9,131.0,9.0,2014-06-20,0.0,96,44,0,62,0,3,22,1,3,2,3,8,0,0,Australia,Other,low spender,40s,high
622010,62,142,Master,Together,1.0,21109.4,47.0,10.0,2014-05-07,0.0,80,0,0,42,2,0,3,3,3,1,3,7,0,0,Spain,Family Customer,low spender,60s,medium
15626087,60,153,PhD,Divorced,1.0,84247.4,921.0,17.0,2013-06-03,0.0,89,614,0,45,1,67,194,3,2,5,7,5,0,0,Saudi Arabia,Family Customer,High spender,60s,medium
16438440,43,162,PhD,Together,1.0,99387.4,1576.0,17.0,2012-08-18,1.0,17,91,28,1225,211,5,16,1,3,6,7,0,0,0,Canada,Family Customer,very high spender,40s,low
11796404,39,151,PhD,Alone,1.0,24586.5,54.0,9.0,2013-08-16,0.0,59,36,0,18,0,0,0,4,1,1,3,7,0,0,Saudi Arabia,Family Customer,low spender,30s,medium
15398057,61,144,Master,Married,1.0,79822.5,646.0,13.0,2014-02-20,0.0,14,436,0,169,10,18,13,1,5,4,3,2,0,0,India,Family Customer,High spender,60s,low
4842847,49,160,2n Cycle,Together,1.0,1730.0,55.0,8.0,2012-10-20,0.0,96,0,0,53,2,0,0,1,3,1,3,6,0,0,Canada,Family Customer,low spender,40s,medium
11653033,53,156,Graduation,Divorced,2.0,36180.3,735.0,3.0,2013-02-16,1.0,89,0,0,721,3,0,11,1,1,1,0,8,0,0,Canada,Family Customer,High spender,50s,high
5576961,68,157,PhD,Divorced,1.0,18727.7,310.0,14.0,2013-02-08,0.0,91,34,5,226,44,1,0,1,7,2,4,6,0,0,Canada,Family Customer,low spender,60s,medium
14959473,46,143,2n Cycle,Married,1.0,4537.8,16.0,7.0,2014-03-31,0.0,55,0,0,16,0,0,0,2,2,1,2,6,0,0,Saudi Arabia,Family Customer,low spender,40s,medium
7119290,38,160,Basic,Single,2.0,10340.2,32.0,12.0,2012-11-10,0.0,91,0,0,24,8,0,0,1,4,0,7,10,0,0,Spain,Family Customer,low spender,30s,high
4443100,81,162,Master,Married,0.0,54018.1,497.0,11.0,2012-09-06,1.0,17,30,110,189,84,5,79,4,3,0,4,1,0,0,Spain,Other,High spender,80s,low
12284547,57,157,PhD,Widow,2.0,97141.3,351.0,17.0,2013-02-06,0.0,0,0,12,66,174,16,83,1,5,14,12,2,1,0,Canada,Family Customer,High spender,50s,low
13826586,57,155,Graduation,Together,2.0,70143.9,858.0,12.0,2013-03-27,1.0,84,692,8,45,87,10,16,1,4,1,6,5,0,0,Canada,Family Customer,High spender,50s,medium
1917384,56,144,Master,Married,1.0,53161.0,191.0,10.0,2014-03-05,0.0,96,78,0,54,55,4,0,1,2,1,6,6,0,0,Australia,Family Customer,low spender,50s,medium
9510493,48,141,PhD,Divorced,2.0,90694.8,1128.0,6.0,2014-06-04,0.0,14,516,0,370,177,3,62,1,1,1,3,8,1,0,India,Family Customer,very high spender,40s,high
6602036,64,146,Graduation,Single,1.0,93759.1,524.0,15.0,2014-01-04,0.0,27,164,0,227,14,38,81,3,3,1,8,7,1,0,Saudi Arabia,Family Customer,High spender,60s,medium
15452824,31,152,PhD,Single,0.0,93350.4,1020.0,16.0,2013-07-01,1.0,75,1493,0,574,100,140,210,2,3,3,8,8,1,0,India,Other,very high spender,30s,high
13341014,53,147,Graduation,Married,1.0,77256.3,1429.0,20.0,2013-12-11,1.0,87,273,24,956,103,33,40,1,4,11,4,8,0,0,India,Family Customer,very high spender,50s,high
9096076,61,163,Graduation,Married,1.0,49802.8,575.0,11.0,2012-08-02,0.0,21,299,0,111,7,0,158,4,2,1,4,4,0,0,Saudi Arabia,Family Customer,High spender,60s,medium
1135566,55,146,PhD,Together,2.0,1730.0,68.0,11.0,2014-01-14,0.0,32,0,0,47,7,0,14,3,6,0,2,8,0,0,Saudi Arabia,Family Customer,low spender,50s,high
11428767,41,145,2n Cycle,Together,2.0,14060.3,632.0,10.0,2014-01-23,0.0,92,591,5,34,0,2,0,2,2,0,6,7,1,0,Canada,Family Customer,High spender,40s,medium
14983459,37,151,Master,Married,2.0,91212.5,519.0,14.0,2013-08-02,0.0,89,61,6,361,88,3,0,1,6,2,5,8,1,0,Canada,Family Customer,High spender,30s,high
15464104,59,157,PhD,Divorced,0.0,96840.7,1454.0,11.0,2013-01-18,0.0,89,92,108,1121,126,0,7,2,6,0,3,2,0,0,India,Other,very high spender,50s,low
9798566,55,154,Graduation,Widow,0.0,48601.4,1337.0,21.0,2013-05-09,0.0,99,345,5,700,155,0,132,1,3,10,7,4,1,0,Germany,Other,very high spender,50s,medium
13086942,71,141,Master,Married,1.0,28431.4,991.0,11.0,2014-05-20,1.0,87,0,0,922,18,0,51,3,4,1,3,7,0,0,Australia,Family Customer,very high spender,70s,medium
12115466,42,145,Basic,Married,2.0,1730.0,11.0,7.0,2014-01-18,0.0,71,0,0,9,2,0,0,3,1,0,3,8,0,0,Spain,Family Customer,low spender,40s,high
13187477,59,156,PhD,Single,0.0,38453.9,514.0,15.0,2013-03-06,0.0,82,221,1,117,137,1,37,4,5,0,6,0,0,0,Australia,Other,High spender,50s,low
15154878,48,159,Graduation,YOLO,0.0,99895.3,418.0,22.0,2012-12-06,1.0,68,270,0,39,25,73,11,3,12,1,6,3,1,0,Germany,Other,High spender,40s,low
2100210,39,145,Graduation,Widow,1.0,28821.2,73.0,12.0,2014-01-28,0.0,99,0,0,59,14,0,0,2,4,1,5,7,0,0,India,Family Customer,low spender,30s,medium
11755920,40,153,2n Cycle,Married,1.0,1730.0,65.0,8.0,2013-05-26,0.0,64,0,0,49,7,0,9,3,2,0,3,7,0,0,Spain,Family Customer,low spender,40s,medium
7248294,53,144,Graduation,Married,1.0,1730.0,142.0,9.0,2014-03-15,1.0,99,0,0,0,0,135,7,1,2,1,5,8,0,0,Canada,Family Customer,low spender,50s,high
82023,52,149,Graduation,Single,0.0,110837.1,1763.0,23.0,2013-09-25,0.0,25,790,10,679,219,46,19,1,5,5,12,7,1,0,Australia,Other,very high spender,50s,medium
11834004,47,157,Graduation,Together,1.0,90054.8,841.0,19.0,2013-01-22,0.0,99,93,55,391,75,208,19,1,4,5,9,4,1,1,USA,Family Customer,High spender,40s,medium
12933809,68,146,Basic,Married,2.0,12631.3,289.0,10.0,2014-01-01,0.0,14,0,108,45,25,66,45,1,2,2,5,6,0,0,Spain,Family Customer,low spender,60s,medium
10460549,57,156,Graduation,Together,1.0,16223.2,451.0,5.0,2013-02-18,0.0,95,36,0,394,0,5,16,1,4,0,0,7,0,0,Spain,Family Customer,High spender,50s,medium
15560129,65,157,Graduation,Married,1.0,10925.3,28.0,9.0,2013-02-10,0.0,87,0,0,17,11,0,0,2,2,1,4,3,0,0,USA,Family Customer,low spender,60s,low
15304690,69,142,Graduation,Divorced,0.0,79149.7,2025.0,16.0,2014-05-05,1.0,60,1123,0,695,91,7,109,1,9,2,4,8,0,0,India,Other,very high spender,60s,high
2924623,61,147,PhD,Married,2.0,24683.2,168.0,11.0,2013-12-11,0.0,99,16,3,37,0,0,112,1,4,0,6,8,0,0,Saudi Arabia,Family Customer,low spender,60s,high
167125,40,140,PhD,Divorced,2.0,92978.9,285.0,19.0,2014-06-29,0.0,41,0,6,117,47,55,60,1,8,0,10,3,0,0,Saudi Arabia,Family Customer,low spender,40s,low
9860620,48,160,Graduation,Divorced,0.0,36236.5,111.0,6.0,2012-11-09,0.0,16,0,0,45,13,6,47,3,2,0,1,8,0,0,Spain,Other,low spender,40s,high
1056015,51,141,Master,Widow,0.0,5772.1,33.0,9.0,2014-06-14,0.0,93,0,2,26,0,0,5,2,1,0,6,4,0,0,Canada,Other,low spender,50s,medium
14253993,54,153,2n Cycle,Together,1.0,27030.3,909.0,20.0,2013-06-13,0.0,75,530,0,68,144,2,165,6,6,2,6,3,0,0,India,Family Customer,High spender,50s,low
15635945,33,149,Graduation,Single,0.0,101484.7,806.0,22.0,2013-10-03,0.0,89,0,24,559,2,209,12,2,4,8,8,5,0,0,Australia,Other,High spender,30s,medium
832275,45,152,Graduation,Widow,1.0,36556.5,50.0,5.0,2013-06-28,0.0,39,0,0,32,3,0,15,2,1,0,2,2,0,0,Saudi Arabia,Family Customer,low spender,40s,low
11422224,39,163,PhD,Married,0.0,99488.4,263.0,12.0,2012-07-30,0.0,47,35,0,211,10,7,0,1,2,2,7,6,0,0,Saudi Arabia,Other,low spender,30s,medium
7268453,59,151,PhD,Single,1.0,1730.0,47.0,7.0,2013-07-29,0.0,99,0,0,39,0,0,8,3,1,0,3,8,0,0,Spain,Family Customer,low spender,50s,high
7139089,77,155,Graduation,Married,1.0,54505.6,128.0,8.0,2013-03-29,0.0,91,17,0,52,3,45,11,3,3,1,1,6,1,0,USA,Family Customer,low spender,70s,medium
12308701,53,153,Graduation,Widow,0.0,71879.5,1788.0,10.0,2013-05-29,0.0,77,501,89,1066,24,47,61,1,7,1,1,6,0,0,Saudi Arabia,Other,very high spender,50s,medium
7535384,60,154,Graduation,Single,1.0,64309.0,523.0,6.0,2013-05-01,0.0,95,109,0,265,0,118,31,1,3,0,2,3,0,0,Australia,Family Customer,High spender,60s,low
15685636,49,163,Graduation,Together,1.0,102072.9,902.0,12.0,2012-08-08,1.0,78,305,69,217,259,16,36,1,3,3,5,1,0,0,Saudi Arabia,Family Customer,High spender,40s,low
15538107,61,160,PhD,Single,0.0,86752.2,602.0,13.0,2012-10-31,0.0,45,186,0,315,7,0,94,3,2,0,8,5,0,0,Saudi Arabia,Other,High spender,60s,medium
14371478,37,147,PhD,Divorced,1.0,1730.0,42.0,6.0,2013-12-10,0.0,52,15,0,27,0,0,0,1,2,0,3,5,0,0,Spain,Family Customer,low spender,30s,medium
12508848,47,150,Graduation,YOLO,1.0,38663.3,261.0,15.0,2013-09-16,0.0,83,118,92,25,9,4,13,2,2,1,10,6,0,0,Saudi Arabia,Family Customer,low spender,40s,medium
15903053,54,140,Graduation,Single,1.0,77835.9,172.0,8.0,2014-06-29,0.0,0,27,0,135,0,5,5,1,3,1,3,5,0,0,Canada,Family Customer,low spender,50s,medium
2425475,55,149,Graduation,Together,1.0,97568.1,1597.0,10.0,2013-09-26,1.0,23,182,10,1193,145,17,50,1,4,4,1,6,0,0,Germany,Family Customer,very high spender,50s,medium
1339664,56,143,Graduation,Single,2.0,14247.0,167.0,11.0,2014-04-13,0.0,99,24,29,60,0,49,5,2,6,0,3,1,0,0,Australia,Family Customer,low spender,50s,low
13701816,50,163,Master,Divorced,2.0,59534.7,158.0,17.0,2012-07-30,1.0,99,8,21,23,10,3,93,3,4,7,3,7,0,0,Australia,Family Customer,low spender,50s,medium
6757971,57,140,Graduation,Widow,1.0,107698.7,1020.0,23.0,2014-06-29,1.0,47,1493,25,1154,225,4,12,3,3,9,8,4,1,0,USA,Family Customer,very high spender,50s,medium
3699727,64,142,Master,Single,1.0,67125.1,290.0,10.0,2014-04-27,1.0,23,67,5,196,0,6,16,3,4,0,3,7,0,0,Saudi Arabia,Family Customer,low spender,60s,medium
2693323,50,141,Graduation,Divorced,0.0,15968.0,86.0,12.0,2014-05-29,0.0,50,54,0,6,16,4,6,1,6,0,5,8,0,0,Spain,Other,low spender,50s,high
5377176,53,142,Master,Divorced,1.0,38038.4,604.0,14.0,2014-05-05,0.0,19,0,165,217,158,38,26,1,4,2,7,1,0,0,Spain,Family Customer,High spender,50s,low
5610727,38,145,Graduation,Together,1.0,35905.9,135.0,8.0,2014-01-19,0.0,93,20,0,1,7,46,61,3,4,1,0,5,0,0,Saudi Arabia,Family Customer,low spender,30s,medium
2304871,65,148,2n Cycle,Together,0.0,89979.2,1661.0,13.0,2013-10-25,1.0,99,1433,3,203,3,2,17,1,5,5,2,1,0,0,USA,Other,very high spender,60s,low
14772449,52,140,PhD,Together,2.0,21751.2,36.0,8.0,2014-06-29,0.0,2,0,0,29,0,7,0,3,1,1,3,5,0,0,Saudi Arabia,Family Customer,low spender,50s,medium
6944787,40,140,Basic,Together,2.0,1730.0,29.0,4.0,2014-06-29,0.0,99,0,0,29,0,0,0,2,0,1,1,7,0,0,Canada,Family Customer,low spender,40s,medium
666639,58,152,2n Cycle,Together,1.0,67849.2,120.0,11.0,2013-06-19,1.0,10,64,0,41,0,2,13,1,7,0,3,4,1,0,USA,Family Customer,low spender,50s,medium
11665366,46,141,2n Cycle,Together,2.0,1730.0,46.0,6.0,2014-06-05,0.0,99,43,0,3,0,0,0,4,2,0,0,7,0,0,Spain,Family Customer,low spender,40s,medium
12571366,42,143,Master,Together,2.0,1730.0,50.0,7.0,2014-03-23,0.0,62,26,0,21,3,0,0,1,2,0,4,8,0,0,India,Family Customer,low spender,40s,high
7820810,37,143,Graduation,Widow,2.0,1730.0,44.0,4.0,2014-03-22,0.0,99,0,0,30,9,0,5,2,1,0,1,4,0,0,Saudi Arabia,Family Customer,low spender,30s,medium
8984294,51,156,Graduation,Married,0.0,111452.4,702.0,17.0,2013-02-28,1.0,6,385,71,53,31,147,15,3,6,2,6,3,0,0,India,Other,High spender,50s,low
3379081,77,157,Graduation,Widow,0.0,102403.8,1037.0,24.0,2013-01-20,2.0,16,419,109,350,113,3,43,1,12,1,10,8,1,0,USA,Other,very high spender,70s,high
10690550,57,144,PhD,Widow,2.0,8646.6,66.0,1.0,2014-02-26,0.0,28,0,0,57,4,0,5,1,0,0,0,8,0,0,Spain,Family Customer,low spender,50s,high
12510546,64,157,PhD,Single,1.0,29942.1,243.0,22.0,2013-02-02,1.0,32,24,0,205,13,0,1,2,7,7,6,6,0,0,Spain,Family Customer,low spender,60s,medium
6362038,36,152,Graduation,Married,0.0,86298.8,362.0,10.0,2013-07-09,1.0,99,63,23,211,9,0,56,1,4,1,4,8,0,0,India,Other,High spender,30s,high
9451059,60,151,Master,Together,0.0,105723.2,788.0,17.0,2013-07-21,0.0,57,286,199,182,0,16,105,3,6,1,7,0,0,0,Australia,Other,High spender,60s,low
5751590,79,143,Graduation,Together,0.0,84828.7,640.0,18.0,2014-03-26,0.0,99,536,0,70,17,2,15,1,8,1,8,3,0,0,Saudi Arabia,Other,High spender,70s,low
3362301,70,150,Graduation,Single,1.0,106642.7,254.0,10.0,2013-09-04,0.0,41,8,21,60,25,26,114,1,2,2,5,7,0,0,Germany,Family Customer,low spender,70s,medium
4472203,56,146,Graduation,Widow,0.0,73690.4,1505.0,16.0,2014-01-10,1.0,12,930,34,151,165,182,43,1,7,2,6,3,1,0,Saudi Arabia,Other,very high spender,50s,low
13283144,45,158,Basic,Married,1.0,7637.7,97.0,6.0,2013-01-14,0.0,72,0,0,67,7,6,17,2,4,0,0,5,0,0,Spain,Family Customer,low spender,40s,medium
9392383,42,140,PhD,Together,0.0,48226.6,128.0,18.0,2014-06-26,0.0,85,0,4,116,0,8,0,1,12,2,3,5,0,0,Spain,Other,low spender,40s,medium
331147,62,141,Graduation,Single,0.0,70038.7,887.0,15.0,2014-06-11,1.0,7,645,97,67,25,41,12,3,6,2,4,8,0,0,Saudi Arabia,Other,High spender,60s,high
6150043,58,144,Graduation,Married,1.0,21316.7,155.0,19.0,2014-02-28,1.0,81,52,46,51,1,5,0,4,7,2,6,7,0,0,Saudi Arabia,Family Customer,low spender,50s,medium
9336282,35,161,Master,Absurd,2.0,39731.2,85.0,3.0,2012-10-15,0.0,56,19,0,48,0,6,12,1,1,1,0,5,0,0,Spain,Family Customer,low spender,30s,medium
11452829,30,143,PhD,Single,1.0,104857.7,686.0,17.0,2014-03-30,1.0,77,191,21,394,39,32,9,4,6,2,5,7,0,0,Australia,Family Customer,High spender,30s,medium
5556534,39,140,Master,Together,2.0,1730.0,39.0,5.0,2014-06-29,0.0,86,0,0,33,5,0,1,2,1,0,2,8,0,0,Spain,Family Customer,low spender,30s,high
9183230,49,159,PhD,Divorced,0.0,47915.9,1343.0,25.0,2012-11-19,0.0,99,513,7,697,107,0,19,6,13,0,6,8,0,0,Canada,Other,very high spender,40s,high
5558766,56,159,Graduation,Single,1.0,94806.5,748.0,5.0,2012-12-13,0.0,94,284,10,160,82,0,212,0,4,1,0,8,0,0,Spain,Family Customer,High spender,50s,high
2589974,57,161,Graduation,Together,0.0,113188.5,938.0,11.0,2012-09-30,0.0,39,175,17,440,259,21,26,1,3,2,5,2,0,0,Canada,Other,High spender,50s,low
16560237,61,157,Graduation,Single,1.0,105507.2,2324.0,13.0,2013-02-09,0.0,59,990,9,1181,99,31,14,3,4,1,5,5,1,0,Spain,Family Customer,very high spender,60s,medium
11436977,35,162,Graduation,Together,1.0,70681.0,507.0,16.0,2012-09-08,1.0,99,355,30,50,13,22,37,4,9,2,1,4,0,0,Australia,Family Customer,High spender,30s,medium
2152305,52,141,Basic,Together,1.0,23751.7,87.0,14.0,2014-06-14,1.0,90,4,5,44,2,3,29,6,4,1,3,5,0,0,Australia,Family Customer,low spender,50s,medium
12753218,68,148,Master,Together,1.0,43250.5,85.0,17.0,2013-11-10,1.0,99,0,2,44,25,8,6,1,12,0,4,3,0,0,Germany,Family Customer,low spender,60s,low
16372261,54,157,2n Cycle,Together,0.0,89938.1,426.0,9.0,2013-02-12,1.0,49,302,0,65,7,6,46,1,5,1,2,7,0,0,Spain,Other,High spender,50s,medium
15196010,84,140,PhD,Single,0.0,69331.6,656.0,12.0,2014-06-29,0.0,80,263,15,332,28,18,0,1,2,4,5,3,0,0,Germany,Other,High spender,80s,low
11552174,51,152,Master,Single,1.0,18267.6,47.0,8.0,2013-07-10,0.0,86,0,0,33,4,0,10,3,1,1,3,0,0,0,Canada,Family Customer,low spender,50s,low
6687490,54,140,Graduation,Married,1.0,1730.0,42.0,10.0,2014-06-29,0.0,72,0,0,42,0,0,0,5,2,0,3,7,0,0,Spain,Family Customer,low spender,50s,medium
11383193,53,145,Graduation,Together,1.0,57466.4,340.0,5.0,2014-02-02,1.0,22,34,19,180,52,8,47,1,2,0,2,8,0,0,Canada,Family Customer,low spender,50s,high
13972950,81,161,Master,Single,2.0,103401.4,1374.0,16.0,2012-10-06,1.0,86,241,0,685,230,129,89,4,4,1,7,1,0,0,Spain,Family Customer,very high spender,80s,low
3470315,48,140,Graduation,Widow,1.0,47659.0,1066.0,14.0,2014-06-29,0.0,55,0,43,1013,9,1,0,3,3,3,5,8,0,0,Saudi Arabia,Family Customer,very high spender,40s,high
435722,75,146,2n Cycle,Single,2.0,15429.2,40.0,9.0,2014-01-13,0.0,91,2,0,31,5,1,1,3,0,0,6,8,0,0,India,Family Customer,low spender,70s,high
6893843,33,158,PhD,Divorced,1.0,108350.6,805.0,23.0,2012-12-21,0.0,73,0,9,694,49,35,18,3,6,2,12,1,0,0,India,Family Customer,High spender,30s,low
16325051,39,150,Graduation,Together,2.0,39227.7,113.0,9.0,2013-08-17,1.0,22,0,0,94,0,3,16,4,2,0,3,8,0,0,Germany,Family Customer,low spender,30s,high
402828,64,147,Master,Together,0.0,54202.6,410.0,17.0,2013-12-08,0.0,50,229,3,146,7,25,0,3,9,4,1,7,0,0,Canada,Other,High spender,60s,medium
3039563,51,153,Graduation,Married,0.0,67299.6,477.0,24.0,2013-06-15,0.0,8,320,0,32,7,35,83,1,5,9,9,8,0,0,Spain,Other,High spender,50s,high
14228600,44,155,2n Cycle,Married,0.0,73649.0,2068.0,20.0,2013-03-31,2.0,9,489,5,1207,259,20,88,4,5,2,9,6,0,0,Spain,Other,very high spender,40s,medium
6755989,59,157,2n Cycle,Single,0.0,104646.6,1356.0,17.0,2013-01-25,1.0,99,97,55,758,259,187,0,1,4,4,8,6,0,0,Saudi Arabia,Other,very high spender,50s,medium
240504,51,154,Graduation,Single,0.0,90919.7,1420.0,17.0,2013-04-23,2.0,22,259,17,772,143,148,81,3,5,4,5,2,0,0,USA,Other,very high spender,50s,low
8903673,48,142,PhD,Married,0.0,77546.4,1212.0,23.0,2014-04-24,1.0,17,649,179,238,8,119,19,3,9,3,8,2,0,0,Spain,Other,very high spender,40s,low
1040479,50,140,Master,Single,1.0,88972.5,1020.0,18.0,2014-06-29,0.0,96,1303,48,1208,184,14,17,2,10,1,5,1,0,0,Spain,Family Customer,very high spender,50s,low
17852,64,147,Graduation,Together,1.0,104374.8,1385.0,19.0,2013-11-17,1.0,43,929,199,55,14,188,0,1,10,2,6,7,1,1,Saudi Arabia,Family Customer,very high spender,60s,medium
16565417,38,152,Graduation,Married,2.0,70222.8,1058.0,19.0,2013-06-25,1.0,78,902,96,40,2,9,9,1,3,6,9,8,0,0,Canada,Family Customer,very high spender,30s,high
